scope,run,split_seed,model,precision,recall,f1,tp,fp,fn,tn
caffe,12,18,LR,0.6,0.3,0.4,3,2,7,74
caffe,12,18,SVM,1.0,0.2,0.3333333333333333,2,0,8,76
caffe,13,19,NB,0.0,0.0,0.0,0,0,10,76
caffe,13,19,LR,0.5,0.4,0.4444444444444444,4,4,6,72
caffe,13,19,SVM,0.6666666666666666,0.2,0.3076923076923077,2,1,8,75
caffe,14,20,NB,0.0,0.0,0.0,0,0,10,76
caffe,14,20,LR,0.46153846153846156,0.6,0.5217391304347826,6,7,4,69
caffe,14,20,SVM,0.6,0.3,0.4,3,2,7,74
caffe,15,21,NB,0.0,0.0,0.0,0,0,10,76
caffe,15,21,LR,0.4,0.4,0.4,4,6,6,70
caffe,15,21,SVM,0.5,0.4,0.4444444444444444,4,4,6,72
caffe,16,22,NB,0.0,0.0,0.0,0,0,10,76
caffe,16,22,LR,0.6666666666666666,0.4,0.5,4,2,6,74
caffe,16,22,SVM,0.75,0.3,0.42857142857142855,3,1,7,75
caffe,17,23,NB,0.0,0.0,0.0,0,0,10,76
caffe,17,23,LR,0.6,0.3,0.4,3,2,7,74
caffe,17,23,SVM,1.0,0.2,0.3333333333333333,2,0,8,76
caffe,18,24,NB,0.0,0.0,0.0,0,0,10,76
caffe,18,24,LR,0.3125,0.5,0.38461538461538464,5,11,5,65
caffe,18,24,SVM,0.5714285714285714,0.4,0.47058823529411764,4,3,6,73
caffe,19,25,NB,0.0,0.0,0.0,0,0,10,76
caffe,19,25,LR,1.0,0.3,0.46153846153846156,3,0,7,76
caffe,19,25,SVM,1.0,0.2,0.3333333333333333,2,0,8,76
caffe,20,26,NB,0.0,0.0,0.0,0,0,10,76
caffe,20,26,LR,0.25,0.1,0.14285714285714285,1,3,9,73
caffe,20,26,SVM,0.3333333333333333,0.1,0.15384615384615385,1,2,9,74
caffe,21,27,NB,0.0,0.0,0.0,0,0,10,76
caffe,21,27,LR,0.8333333333333334,0.5,0.625,5,1,5,75
caffe,21,27,SVM,0.8,0.4,0.5333333333333333,4,1,6,75
caffe,22,28,NB,0.0,0.0,0.0,0,0,10,76
caffe,22,28,LR,0.6,0.3,0.4,3,2,7,74
caffe,22,28,SVM,1.0,0.3,0.46153846153846156,3,0,7,76
caffe,23,29,NB,0.0,0.0,0.0,0,0,10,76
caffe,23,29,LR,0.625,0.5,0.5555555555555556,5,3,5,73
caffe,23,29,SVM,1.0,0.3,0.46153846153846156,3,0,7,76
caffe,24,30,NB,0.0,0.0,0.0,0,0,10,76
caffe,24,30,LR,0.8333333333333334,0.5,0.625,5,1,5,75
caffe,24,30,SVM,1.0,0.1,0.18181818181818182,1,0,9,76
caffe,25,31,NB,0.0,0.0,0.0,0,0,10,76
